"category","entity_name","metric_name","metric_value","timestamp","source_type"
"saas","ATLAS_DYNAMICS_710","growth_rate","0.14918","2019-09-01","internal_system"
"saas","ATLAS_DYNAMICS_710","arpu","121.90","2019-09-01","internal_system"
"saas","ATLAS_DYNAMICS_710","ltv","4523.14","2019-09-01","internal_system"
"saas","ATLAS_DYNAMICS_710","recurring_revenue","3258297.96","2019-09-01","internal_system"
"saas","ATLAS_DYNAMICS_710","mrr","254600.35","2019-10-01","internal_system"
"saas","ATLAS_DYNAMICS_710","churn_rate","0.03070","2019-10-01","internal_system"
"saas","ATLAS_DYNAMICS_710","conversion_rate","0.07309","2019-10-01","internal_system"
"saas","ATLAS_DYNAMICS_710","growth_rate","-0.01348","2019-10-01","internal_system"
"saas","ATLAS_DYNAMICS_710","arpu","120.48","2019-10-01","internal_system"
"saas","ATLAS_DYNAMICS_710","ltv","3901.90","2019-10-01","internal_system"
"saas","ATLAS_DYNAMICS_710","recurring_revenue","3055204.2","2019-10-01","internal_system"
"saas","ATLAS_DYNAMICS_710","mrr","260332.18","2019-11-01","internal_system"
"saas","ATLAS_DYNAMICS_710","churn_rate","0.02772","2019-11-01","internal_system"
"saas","ATLAS_DYNAMICS_710","conversion_rate","0.08189","2019-11-01","internal_system"
"saas","ATLAS_DYNAMICS_710","growth_rate","0.04045","2019-11-01","internal_system"
"saas","ATLAS_DYNAMICS_710","arpu","120.71","2019-11-01","internal_system"
"saas","ATLAS_DYNAMICS_710","ltv","4371.32","2019-11-01","internal_system"
"saas","ATLAS_DYNAMICS_710","recurring_revenue","3123986.16","2019-11-01","internal_system"
"saas","ATLAS_DYNAMICS_710","mrr","272527.29","2019-12-01","internal_system"
"saas","ATLAS_DYNAMICS_710","churn_rate","0.02361","2019-12-01","internal_system"
"saas","ATLAS_DYNAMICS_710","conversion_rate","0.07706","2019-12-01","internal_system"
"saas","ATLAS_DYNAMICS_710","growth_rate","0.06208","2019-12-01","internal_system"
"saas","ATLAS_DYNAMICS_710","arpu","115.80","2019-12-01","internal_system"
"saas","ATLAS_DYNAMICS_710","ltv","4940.94","2019-12-01","internal_system"
"saas","ATLAS_DYNAMICS_710","recurring_revenue","3270327.48","2019-12-01","internal_system"
"saas","ATLAS_DYNAMICS_710","mrr","277058.26","2020-01-01","internal_system"
"saas","ATLAS_DYNAMICS_710","churn_rate","0.02026","2020-01-01","internal_system"
"saas","ATLAS_DYNAMICS_710","conversion_rate","0.08814","2020-01-01","internal_system"
"saas","ATLAS_DYNAMICS_710","growth_rate","0.04315","2020-01-01","internal_system"
"saas","ATLAS_DYNAMICS_710","arpu","119.81","2020-01-01","internal_system"
"saas","ATLAS_DYNAMICS_710","ltv","6190.65","2020-01-01","internal_system"
"saas","ATLAS_DYNAMICS_710","recurring_revenue","3324699.12","2020-01-01","internal_system"
"saas","ATLAS_DYNAMICS_710","mrr","262976.61","2020-02-01","internal_system"
"saas","ATLAS_DYNAMICS_710","churn_rate","0.02178","2020-02-01","internal_system"
"saas","ATLAS_DYNAMICS_710","conversion_rate","0.08357","2020-02-01","internal_system"
"saas","ATLAS_DYNAMICS_710","growth_rate","-0.05000","2020-02-01","internal_system"
"saas","ATLAS_DYNAMICS_710","arpu","122.58","2020-02-01","internal_system"
"saas","ATLAS_DYNAMICS_710","ltv","5780.32","2020-02-01","internal_system"
"saas","ATLAS_DYNAMICS_710","recurring_revenue","3155719.32","2020-02-01","internal_system"
"saas","ATLAS_DYNAMICS_710","mrr","250157.21","2020-03-01","internal_system"
"saas","ATLAS_DYNAMICS_710","churn_rate","0.02137","2020-03-01","internal_system"
"saas","ATLAS_DYNAMICS_710","conversion_rate","0.07633","2020-03-01","internal_system"
"saas","ATLAS_DYNAMICS_710","growth_rate","0.01277","2020-03-01","internal_system"
"saas","ATLAS_DYNAMICS_710","arpu","117.75","2020-03-01","internal_system"
"saas","ATLAS_DYNAMICS_710","ltv","5777.60","2020-03-01","internal_system"
"saas","ATLAS_DYNAMICS_710","recurring_revenue","3001886.52","2020-03-01","internal_system"
"saas","ATLAS_DYNAMICS_710","mrr","280354.49","2020-04-01","internal_system"
"saas","ATLAS_DYNAMICS_710","churn_rate","0.02193","2020-04-01","internal_system"
"saas","ATLAS_DYNAMICS_710","conversion_rate","0.07124","2020-04-01","internal_system"
"saas","ATLAS_DYNAMICS_710","growth_rate","0.07427","2020-04-01","internal_system"
"saas","ATLAS_DYNAMICS_710","arpu","112.62","2020-04-01","internal_system"
"saas","ATLAS_DYNAMICS_710","ltv","4934.60","2020-04-01","internal_system"
"saas","ATLAS_DYNAMICS_710","recurring_revenue","3364253.88","2020-04-01","internal_system"
"saas","ATLAS_DYNAMICS_710","mrr","302685.74","2020-05-01","internal_system"
"saas","ATLAS_DYNAMICS_710","churn_rate","0.02033","2020-05-01","internal_system"
"saas","ATLAS_DYNAMICS_710","conversion_rate","0.06961","2020-05-01","internal_system"
"saas","ATLAS_DYNAMICS_710","growth_rate","0.14836","2020-05-01","internal_system"
"saas","ATLAS_DYNAMICS_710","arpu","117.86","2020-05-01","internal_system"
"saas","ATLAS_DYNAMICS_710","ltv","5620.17","2020-05-01","internal_system"
"saas","ATLAS_DYNAMICS_710","recurring_revenue","3632228.88","2020-05-01","internal_system"
"saas","ATLAS_DYNAMICS_710","mrr","283323.34","2020-06-01","internal_system"
"saas","ATLAS_DYNAMICS_710","churn_rate","0.02251","2020-06-01","internal_system"
"saas","ATLAS_DYNAMICS_710","conversion_rate","0.08473","2020-06-01","internal_system"
"saas","ATLAS_DYNAMICS_710","growth_rate","-0.05000","2020-06-01","internal_system"
"saas","ATLAS_DYNAMICS_710","arpu","115.68","2020-06-01","internal_system"
"saas","ATLAS_DYNAMICS_710","ltv","5314.34","2020-06-01","internal_system"
"saas","ATLAS_DYNAMICS_710","recurring_revenue","3399880.08","2020-06-01","internal_system"
"saas","ATLAS_DYNAMICS_710","mrr","272160.40","2020-07-01","internal_system"
"saas","ATLAS_DYNAMICS_710","churn_rate","0.02315","2020-07-01","internal_system"
"saas","ATLAS_DYNAMICS_710","conversion_rate","0.07020","2020-07-01","internal_system"
"saas","ATLAS_DYNAMICS_710","growth_rate","-0.05000","2020-07-01","internal_system"
"saas","ATLAS_DYNAMICS_710","arpu","114.82","2020-07-01","internal_system"
"saas","ATLAS_DYNAMICS_710","ltv","4860.42","2020-07-01","internal_system"
"saas","ATLAS_DYNAMICS_710","recurring_revenue","3265924.8","2020-07-01","internal_system"
"saas","ATLAS_DYNAMICS_710","mrr","276266.50","2020-08-01","internal_system"
"saas","ATLAS_DYNAMICS_710","churn_rate","0.02170","2020-08-01","internal_system"
"saas","ATLAS_DYNAMICS_710","conversion_rate","0.08996","2020-08-01","internal_system"
"saas","ATLAS_DYNAMICS_710","growth_rate","0.08067","2020-08-01","internal_system"
"saas","ATLAS_DYNAMICS_710","arpu","118.46","2020-08-01","internal_system"
"saas","ATLAS_DYNAMICS_710","ltv","5788.72","2020-08-01","internal_system"
"saas","ATLAS_DYNAMICS_710","recurring_revenue","3315198.0","2020-08-01","internal_system"
"saas","ATLAS_DYNAMICS_710","mrr","253529.17","2020-09-01","internal_system"
"saas","ATLAS_DYNAMICS_710","churn_rate","0.02346","2020-09-01","internal_system"
"saas","ATLAS_DYNAMICS_710","conversion_rate","0.08222","2020-09-01","internal_system"
"saas","ATLAS_DYNAMICS_710","growth_rate","-0.05000","2020-09-01","internal_system"
"saas","ATLAS_DYNAMICS_710","arpu","123.39","2020-09-01","internal_system"
"saas","ATLAS_DYNAMICS_710","ltv","5332.52","2020-09-01","internal_system"
"saas","ATLAS_DYNAMICS_710","recurring_revenue","3042350.04","2020-09-01","internal_system"
"saas","ATLAS_DYNAMICS_710","mrr","257643.30","2020-10-01","internal_system"
"saas","ATLAS_DYNAMICS_710","churn_rate","0.02033","2020-10-01","internal_system"
"saas","ATLAS_DYNAMICS_710","conversion_rate","0.06841","2020-10-01","internal_system"
"saas","ATLAS_DYNAMICS_710","growth_rate","0.06730","2020-10-01","internal_system"
"saas","ATLAS_DYNAMICS_710","arpu","129.52","2020-10-01","internal_system"
"saas","ATLAS_DYNAMICS_710","ltv","5898.64","2020-10-01","internal_system"
"saas","ATLAS_DYNAMICS_710","recurring_revenue","3091719.6","2020-10-01","internal_system"
"saas","ATLAS_DYNAMICS_710","mrr","231902.33","2020-11-01","internal_system"
"saas","ATLAS_DYNAMICS_710","churn_rate","0.01913","2020-11-01","internal_system"
"saas","ATLAS_DYNAMICS_710","conversion_rate","0.07627","2020-11-01","internal_system"
"saas","ATLAS_DYNAMICS_710","growth_rate","-0.05000","2020-11-01","internal_system"
"saas","ATLAS_DYNAMICS_710","arpu","128.55","2020-11-01","internal_system"
"saas","ATLAS_DYNAMICS_710","ltv","6588.97","2020-11-01","internal_system"
"saas","ATLAS_DYNAMICS_710","recurring_revenue","2782827.96","2020-11-01","internal_system"
"saas","ATLAS_DYNAMICS_710","mrr","224403.53","2020-12-01","internal_system"
"saas","ATLAS_DYNAMICS_710","churn_rate","0.01731","2020-12-01","internal_system"
"saas","ATLAS_DYNAMICS_710","conversion_rate","0.08097","2020-12-01","internal_system"
"saas","ATLAS_DYNAMICS_710","growth_rate","-0.05000","2020-12-01","internal_system"
"saas","ATLAS_DYNAMICS_710","arpu","122.48","2020-12-01","internal_system"
"saas","ATLAS_DYNAMICS_710","ltv","7138.18","2020-12-01","internal_system"
"saas","ATLAS_DYNAMICS_710","recurring_revenue","2692842.36","2020-12-01","internal_system"
"saas","ATLAS_DYNAMICS_710","mrr","226134.50","2021-01-01","internal_system"
"saas","ATLAS_DYNAMICS_710","churn_rate","0.01480","2021-01-01","internal_system"
"saas","ATLAS_DYNAMICS_710","conversion_rate","0.09760","2021-01-01","internal_system"
"saas","ATLAS_DYNAMICS_710","growth_rate","0.02366","2021-01-01","internal_system"
"saas","ATLAS_DYNAMICS_710","arpu","122.99","2021-01-01","internal_system"
